Actual,Blues,Classical,Country,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Jazz,Old-Time / Historic,Pop,Rock,Soul-RnB,Spoken
Blues,0.0,0.0,0.0,0.0,0.006160164271047228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0
Classical,0.0,0.6792452830188679,0.0,0.0,0.006844626967830253,0.003703703703703704,0.0,0.05714285714285714,0.008130081300813009,0.0,0.0,0.020833333333333332,0.0,0.0,0.0
Country,0.0,0.0,0.0,0.0012048192771084338,0.0,0.003703703703703704,0.015060240963855422,0.0,0.008130081300813009,0.0,0.0,0.0,0.006112469437652812,0.0,0.0
Easy Listening,0.0,0.018867924528301886,0.0,0.0,0.002053388090349076,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronic,0.0,0.05660377358490566,0.0,0.5831325301204819,0.1464750171115674,0.022222222222222223,0.14156626506024098,0.11428571428571428,0.08943089430894309,0.04,0.014285714285714285,0.125,0.03606356968215159,0.0,0.0
Experimental,0.0,0.03773584905660377,0.0,0.1180722891566265,0.48528405201916497,0.13703703703703704,0.05120481927710843,0.2857142857142857,0.14634146341463414,0.32,0.02857142857142857,0.4166666666666667,0.09718826405867971,1.0,0.09090909090909091
Folk,0.0,0.009433962264150943,0.0,0.004819277108433735,0.057494866529774126,0.32592592592592595,0.006024096385542169,0.0,0.18699186991869918,0.16,0.05714285714285714,0.10416666666666667,0.05134474327628362,0.0,0.0
Hip-Hop,0.0,0.0,0.0,0.0783132530120482,0.02053388090349076,0.003703703703703704,0.6506024096385542,0.0,0.032520325203252036,0.0,0.0,0.0,0.004278728606356968,0.0,0.0
Instrumental,0.0,0.11320754716981132,0.0,0.04939759036144578,0.07939767282683094,0.1962962962962963,0.009036144578313253,0.45714285714285713,0.008130081300813009,0.04,0.15714285714285714,0.125,0.029951100244498777,0.0,0.0
International,0.0,0.03773584905660377,1.0,0.016867469879518072,0.017111567419575632,0.040740740740740744,0.04216867469879518,0.0,0.3821138211382114,0.0,0.0,0.0,0.006723716381418093,0.0,0.09090909090909091
Jazz,0.0,0.018867924528301886,0.0,0.006024096385542169,0.013689253935660506,0.011111111111111112,0.0,0.0,0.024390243902439025,0.36,0.0,0.0,0.003056234718826406,0.0,0.0
Old-Time / Historic,0.0,0.0,0.0,0.0,0.0013689253935660506,0.0,0.0,0.0,0.0,0.0,0.7428571428571429,0.020833333333333332,0.0,0.0,0.0
Pop,1.0,0.009433962264150943,0.0,0.07710843373493977,0.028747433264887063,0.08148148148148149,0.030120481927710843,0.02857142857142857,0.016260162601626018,0.04,0.0,0.08333333333333333,0.034229828850855744,0.0,0.0
Rock,0.0,0.018867924528301886,0.0,0.05301204819277108,0.1163586584531143,0.17037037037037037,0.045180722891566265,0.02857142857142857,0.08130081300813008,0.04,0.0,0.08333333333333333,0.7139364303178484,0.0,0.2727272727272727
Soul-RnB,0.0,0.0,0.0,0.012048192771084338,0.007529089664613279,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.012836185819070905,0.0,0.0
Spoken,0.0,0.0,0.0,0.0,0.010951403148528405,0.003703703703703704,0.006024096385542169,0.0,0.016260162601626018,0.0,0.0,0.020833333333333332,0.0018337408312958435,0.0,0.5454545454545454
