,accuracy_score,precision_score,recall_score,f1_score,fitted_time(s)
MLPClassifier,0.5810947283377096,0.5810947283377096,0.5810947283377096,0.5810947283377096,506.96278285980225
SVC,0.577257119773783,0.577257119773783,0.577257119773783,0.577257119773783,318.9227969646454
ExtraTreesClassifier,0.5639264794990911,0.5639264794990911,0.5639264794990911,0.5639264794990911,32.91039419174194
RandomForestClassifier,0.5617047061199758,0.5617047061199758,0.5617047061199758,0.5617047061199758,142.81128931045532
LinearSVC,0.5465562512623713,0.5465562512623713,0.5465562512623713,0.5465562512623713,253.10262989997864
LogisticRegression,0.538275095940214,0.538275095940214,0.538275095940214,0.538275095940214,9.079748153686523
KNeighborsClassifier,0.5198949707129873,0.5198949707129873,0.5198949707129873,0.5198949707129873,0.08270096778869629
BaggingClassifier,0.5087861038174106,0.5087861038174106,0.5087861038174106,0.5087861038174106,192.71443247795105
RidgeClassifier,0.5055544334477883,0.5055544334477883,0.5055544334477883,0.5055544334477883,0.5981326103210449
SGDClassifier,0.4946475459503131,0.4946475459503131,0.4946475459503131,0.4946475459503131,9.368385076522827
DecisionTreeClassifier,0.3944657644920218,0.3944657644920218,0.3944657644920218,0.3944657644920218,23.605331897735596
AdaBoostClassifier,0.39385982629771765,0.39385982629771765,0.39385982629771765,0.39385982629771765,103.01359987258911
NearestCentroid,0.3783074126439103,0.3783074126439103,0.3783074126439103,0.3783074126439103,0.12543129920959473
Perceptron,0.36558271056352254,0.36558271056352254,0.36558271056352254,0.36558271056352254,5.9329140186309814
GaussianNB,0.36376489598060996,0.36376489598060996,0.36376489598060996,0.36376489598060996,0.16827034950256348
