,accuracy_score,precision_score,recall_score,f1_score,fitted_time(s)
MLPClassifier,0.5899818218541709,0.5899818218541709,0.5899818218541709,0.5899818218541709,22.10862112045288
SVC,0.577257119773783,0.577257119773783,0.577257119773783,0.577257119773783,159.1214919090271
RandomForestClassifier,0.5562512623712381,0.5562512623712381,0.5562512623712381,0.5562512623712381,38.52446889877319
ExtraTreesClassifier,0.5560492829731367,0.5560492829731367,0.5560492829731367,0.5560492829731367,7.427263021469116
LinearSVC,0.5465562512623713,0.5465562512623713,0.5465562512623713,0.5465562512623713,140.92150902748108
LogisticRegression,0.5388810341345183,0.5388810341345183,0.5388810341345183,0.5388810341345183,2.069391965866089
KNeighborsClassifier,0.5198949707129873,0.5198949707129873,0.5198949707129873,0.5198949707129873,0.1270592212677002
SGDClassifier,0.515653403352858,0.515653403352858,0.515653403352858,0.515653403352858,3.8162901401519775
BaggingClassifier,0.5081801656231064,0.5081801656231064,0.5081801656231064,0.5081801656231064,51.3049430847168
RidgeClassifier,0.5055544334477883,0.5055544334477883,0.5055544334477883,0.5055544334477883,0.14661312103271484
AdaBoostClassifier,0.39385982629771765,0.39385982629771765,0.39385982629771765,0.39385982629771765,31.22096586227417
DecisionTreeClassifier,0.3926479499091093,0.3926479499091093,0.3926479499091093,0.39264794990910934,8.440365076065063
NearestCentroid,0.3783074126439103,0.3783074126439103,0.3783074126439103,0.3783074126439103,0.03703618049621582
Perceptron,0.36558271056352254,0.36558271056352254,0.36558271056352254,0.36558271056352254,2.0534889698028564
GaussianNB,0.36376489598060996,0.36376489598060996,0.36376489598060996,0.36376489598060996,0.08114886283874512
